,Contrato,Dirección,tipo,calle,NUMERO,PISO,Nº Serie Contador Esf.1,xcoord,ycoord,localId,USO 2020,2020-1,2020-2,2020-3,2020-4,USO 2018,2018-1,2018-2,2018-3,USO 2019,2019-1,2019-2,2019-3
46,6145610,BARRIONUEVO ALTO 48,DOMESTICO,BARRIONUEVO ALTO,48.0,S/N,7632678,-6.4159138274405985,39.55996302101246,10.050.70.48.2123511QD2822S,11.0,18.0,16.0,22.0,,12.0,15.0,19.0,22.0,11.0,17.0,17.0,22.0
47,6145611,BARRIONUEVO ALTO 50,DOMESTICO,BARRIONUEVO ALTO,50.0,S/N,J397497,-6.4159104254697095,39.55991673048192,10.050.70.50.2123512QD2822S,18.0,26.0,27.0,21.0,,19.0,21.0,21.0,19.0,18.0,23.0,25.0,19.0
48,6145612,BARRIONUEVO ALTO 54,DOMESTICO,BARRIONUEVO ALTO,54.0,S/N,692913,-6.41590182124801,39.559806812582735,10.050.70.54.2123514QD2822S,25.0,15.0,29.0,19.0,,25.0,27.0,34.0,27.0,25.0,30.0,26.0,22.0
49,6145614,BARRIONUEVO ALTO 60,DOMESTICO,BARRIONUEVO ALTO,60.0,S/N,11198094,-6.415812349298095,39.55960861601059,10.050.70.60.2123517QD2822S,26.0,31.0,26.0,23.0,,24.0,26.0,25.0,25.0,26.0,30.0,30.0,28.0
50,6145616,BARRIONUEVO ALTO 52,DOMESTICO,BARRIONUEVO ALTO,52.0,S/N,8802846,-6.4159064007081605,39.559862138052964,10.050.70.52.2123513QD2822S,25.0,0.0,0.0,0.0,,22.0,31.0,16.0,23.0,25.0,29.0,15.0,22.0
51,6145618,BARRIONUEVO ALTO 58,DOMESTICO,BARRIONUEVO ALTO,58.0,S/N,S29891703,-6.415893289013436,39.55971689568836,10.050.70.58.2123516QD2822S,2.0,8.0,6.0,1.0,,1.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0
52,6145621,BARRIONUEVO ALTO 17,DOMESTICO,BARRIONUEVO ALTO,17.0,S/N,H792329,-6.416008209403475,39.56114479737891,10.050.70.17.2125409QD2822N,1.0,1.0,75.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,6145622,BARRIONUEVO ALTO 12,DOMESTICO,BARRIONUEVO ALTO,12.0,S/N,H827120,-6.416087491678242,39.56109701318113,10.050.70.12.2125729QD2822N,57.0,53.0,50.0,48.0,,105.0,103.0,132.0,119.0,126.0,129.0,134.0,117.0
54,6145624,BARRIONUEVO BAJO 1,DOMESTICO,BARRIONUEVO BAJO,1.0,S/N,1525781,-6.4160686791490615,39.56154423439609,10.050.70.1.2125401QD2822N,12.0,17.0,12.0,0.0,,12.0,14.0,13.0,13.0,16.0,14.0,16.0,13.0
55,6145625,BARRIONUEVO BAJO 3,DOMESTICO,BARRIONUEVO BAJO,3.0,S/N,1679338,-6.416226066082048,39.56189430199948,10.050.40.3.2125721QD2822N,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,6145626,BARRIONUEVO BAJO 9,DOMESTICO,BARRIONUEVO BAJO,9.0,S/N,1408608,-6.416033278611223,39.561369222295696,10.050.70.9.2125405QD2822N,27.0,35.0,33.0,34.0,,35.0,44.0,65.0,52.0,44.0,47.0,46.0,39.0
57,6145627,BARRIONUEVO BAJO 9,DOMESTICO,BARRIONUEVO BAJO,9.0,S/N,R20529947,-6.416033278611223,39.561369222295696,10.050.70.9.2125405QD2822N,5.0,9.0,14.0,6.0,,35.0,44.0,65.0,52.0,44.0,47.0,46.0,39.0
58,6145628,BARRIONUEVO BAJO 11,DOMESTICO,BARRIONUEVO BAJO,11.0,S/N,167512,-6.41602628488698,39.56132249151658,10.050.70.11.2125406QD2822N,6.0,23.0,39.0,26.0,,5.0,5.0,7.0,6.0,7.0,5.0,6.0,5.0
59,6145629,BARRIONUEVO BAJO 13 A,DOMESTICO,BARRIONUEVO BAJO,13.0,A,K415051,-6.416018000696924,39.56126663319956,10.050.70.13.2125407QD2822N,18.0,32.0,7.0,7.0,,23.0,15.0,24.0,15.0,24.0,20.0,33.0,18.0
60,6145630,BARRIONUEVO BAJO 15,DOMESTICO,BARRIONUEVO BAJO,15.0,S/N,1092154,-6.416008389277691,39.56120263748765,10.050.70.15.2125408QD2822N,14.0,8.0,16.0,2.0,,17.0,18.0,19.0,19.0,17.0,14.0,17.0,14.0
61,6145631,BARRIONUEVO BAJO 17,DOMESTICO,BARRIONUEVO BAJO,17.0,S/N,L906572,-6.416008209403475,39.56114479737891,10.050.70.17.2125409QD2822N,4.0,9.0,8.0,12.0,,0.0,0.0,0.0,7.0,0.0,9.0,0.0,0.0
62,6145632,BARRIONUEVO BAJO 21,DOMESTICO,BARRIONUEVO BAJO,21.0,S/N,2651918,-6.415987027465267,39.561025685520214,10.050.70.21.2125411QD2822N,23.0,21.0,0.0,17.0,,16.0,19.0,22.0,21.0,23.0,21.0,24.0,21.0
63,6145633,BARRIONUEVO BAJO 23,DOMESTICO,BARRIONUEVO BAJO,23.0,S/N,91529056,-6.415979136194916,39.56098118695258,10.050.70.23.2125412QD2822N,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,6145634,BARRIONUEVO BAJO 25,DOMESTICO,BARRIONUEVO BAJO,25.0,S/N,IB1189047,-6.415970846623308,39.56093487777471,10.050.70.25.2125413QD2822N,40.0,59.0,53.0,56.0,,37.0,45.0,52.0,54.0,48.0,47.0,48.0,48.0
65,6145637,BARRIONUEVO BAJO 37,DOMESTICO,BARRIONUEVO BAJO,37.0,S/N,1834777,-6.415919539563036,39.56063347946152,10.050.70.37.2223801QD2822S,21.0,24.0,28.0,21.0,,31.0,32.0,30.0,22.0,21.0,21.0,26.0,23.0
66,6145639,BARRIONUEVO BAJO 43,DOMESTICO,BARRIONUEVO BAJO,43.0,S/N,3124585,-6.415892713153728,39.560468923529626,10.050.70.43.2223825QD2822S,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,6145641,BARRIONUEVO BAJO 4,DOMESTICO,BARRIONUEVO BAJO,4.0,S/N,18-198328,-6.416145487438992,39.56152234029351,10.050.70.4.2125727QD2822N,12.0,13.0,13.0,11.0,,9.0,11.0,12.0,11.0,9.0,10.0,12.0,11.0
68,6145642,BARRIONUEVO BAJO 6,DOMESTICO,BARRIONUEVO BAJO,6.0,S/N,1481089,-6.41613684896789,39.56146034816085,10.050.70.6.2125728QD2822N,17.0,8.0,22.0,18.0,,15.0,17.0,20.0,17.0,25.0,15.0,27.0,18.0
69,6145643,BARRIONUEVO BAJO 8,DOMESTICO,BARRIONUEVO BAJO,8.0,S/N,751002,-6.416120687451254,39.56132513228807,10.050.70.8.2125780QD2822N,17.0,14.0,21.0,12.0,,14.0,16.0,22.0,17.0,19.0,19.0,23.0,20.0
70,6145644,BARRIONUEVO BAJO 10,DOMESTICO,BARRIONUEVO BAJO,10.0,S/N,51567660,-6.416140588424973,39.56184546485689,10.050.40.10.2126017QD2822N,11.0,7.0,8.0,8.0,,13.0,15.0,18.0,15.0,10.0,11.0,13.0,10.0
71,6145645,BARRIONUEVO BAJO 12,DOMESTICO,BARRIONUEVO BAJO,12.0,S/N,4,-6.416087491678242,39.56109701318113,10.050.70.12.2125729QD2822N,11.0,0.0,7.0,9.0,,11.0,9.0,20.0,9.0,11.0,9.0,0.0,9.0
72,6145647,BARRIONUEVO BAJO 20,DOMESTICO,BARRIONUEVO BAJO,20.0,S/N,N01579583,-6.416032707085367,39.56087373341329,10.050.70.20.2125733QD2822N,0.0,0.0,1.0,0.0,,0.0,1.0,6.0,0.0,0.0,0.0,7.0,0.0
73,6145648,BARRIONUEVO BAJO 22,DOMESTICO,BARRIONUEVO BAJO,22.0,S/N,IB1128672,-6.416019618402148,39.56080308395679,10.050.70.22.2125734QD2822N,23.0,27.0,31.0,25.0,,27.0,30.0,35.0,27.0,26.0,23.0,30.0,23.0
74,6145650,BARRIONUEVO BAJO 26,DOMESTICO,BARRIONUEVO BAJO,26.0,S/N,7632571,-6.415985585214852,39.5606069317111,10.050.70.26.2123502QD2822S,0.0,0.0,16.0,5.0,,0.0,4.0,19.0,6.0,0.0,4.0,20.0,3.0
75,6145651,BARRIONUEVO BAJO 28,DOMESTICO,BARRIONUEVO BAJO,28.0,S/N,8940129,-6.415972541468207,39.56052880599316,10.050.70.28.2123503QD2822S,16.0,18.0,18.0,16.0,,15.0,17.0,21.0,17.0,15.0,19.0,21.0,18.0
76,6145653,BARRIONUEVO BAJO 32,DOMESTICO,BARRIONUEVO BAJO,32.0,S/N,2484003,-6.415957417519148,39.560422076285015,10.050.70.32.2123505QD2822S,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,6145654,BARRIONUEVO BAJO 32 A,DOMESTICO,BARRIONUEVO BAJO,32.0,A,R372911,-6.415957417519148,39.560422076285015,10.050.70.32.2123505QD2822S,19.0,17.0,28.0,14.0,,16.0,19.0,25.0,15.0,15.0,18.0,26.0,16.0
78,6145655,BARRIONUEVO BAJO 34,GARAJES,BARRIONUEVO BAJO,34.0,S/N,1711748,-6.4162692788129805,39.56237299222599,10.050.40.34.2126029QD2822N,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
79,6145657,BARRIONUEVO BAJO 40,DOMESTICO,BARRIONUEVO BAJO,40.0,S/N,1679215,-6.4162988097447515,39.56251490168506,10.050.40.40.2126032QD2822N,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,6145659,BARRIONUEVO BAJO 46,DOMESTICO,BARRIONUEVO BAJO,46.0,S/N,97108776,-6.415918124197301,39.560019691502475,10.050.70.46.2123510QD2822S,8.0,8.0,10.0,8.0,,6.0,7.0,10.0,9.0,8.0,9.0,10.0,8.0
81,6145660,BARRIONUEVO BAJO 48,DOMESTICO,BARRIONUEVO BAJO,48.0,S/N,5,-6.4159138274405985,39.55996302101246,10.050.70.48.2123511QD2822S,3.0,0.0,1.0,0.0,,3.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0
82,6145661,BARRIONUEVO BAJO 52 .,DOMESTICO,BARRIONUEVO BAJO,52.0,.,20-050022,-6.4159064007081605,39.559862138052964,10.050.70.52.2123513QD2822S,34.0,55.0,18.0,15.0,,0.0,4.0,19.0,0.0,6.0,4.0,19.0,0.0
83,6145663,BARRIONUEVO BAJO 56,DOMESTICO,BARRIONUEVO BAJO,56.0,S/N,,-6.41589761125108,39.55976347695775,10.050.70.56.2123515QD2822S,0.0,0.0,0.0,0.0,,21.0,22.0,23.0,20.0,23.0,21.0,24.0,20.0
84,6145664,BARRIONUEVO BAJO 58,DOMESTICO,BARRIONUEVO BAJO,58.0,S/N,33,-6.415893289013436,39.55971689568836,10.050.70.58.2123516QD2822S,26.0,16.0,27.0,18.0,,27.0,31.0,35.0,31.0,31.0,28.0,33.0,23.0
85,6145666,BARRIONUEVO BAJO 62,GARAJES,BARRIONUEVO BAJO,62.0,S/N,11022903,-6.416439491551934,39.562992246672586,10.050.40.62.2126043QD2822N,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,6145667,BARRIONUEVO BAJO 1 A,DOMESTICO,BARRIONUEVO BAJO,1.0,A,F669140,-6.4160686791490615,39.56154423439609,10.050.70.1.2125401QD2822N,1.0,1.0,2.0,1.0,,1.0,0.0,7.0,1.0,2.0,1.0,3.0,1.0
87,6145669,BARRIONUEVO BAJO 1 B,DOMESTICO,BARRIONUEVO BAJO,1.0,B,990897634,-6.4160686791490615,39.56154423439609,10.050.70.1.2125401QD2822N,34.0,40.0,40.0,33.0,,34.0,38.0,34.0,36.0,38.0,41.0,49.0,41.0
88,6145670,BARRIONUEVO BAJO 16,DOMESTICO,BARRIONUEVO BAJO,16.0,S/N,10576749,-6.416060299826915,39.56097801536782,10.050.70.16.2125731QD2822N,0.0,0.0,16.0,0.0,,0.0,4.0,21.0,2.0,0.0,9.0,19.0,1.0
89,6145679,AV.CONSTITUCION 1,DOMESTICO,CONSTITUCION,1.0,S/N,263028,-6.417382999662736,39.56152004592518,10.050.42.1.2024009QD2822S,14.0,13.0,21.0,18.0,,11.0,12.0,12.0,12.0,14.0,13.0,13.0,14.0
90,6145680,AV.CONSTITUCION 3,DOMESTICO,CONSTITUCION,3.0,S/N,6805076,-6.417473236786209,39.56151889938992,10.050.42.3.2024008QD2822S,42.0,63.0,43.0,56.0,,40.0,43.0,43.0,39.0,42.0,42.0,44.0,45.0
91,6145682,AV.CONSTITUCION 11,DOMESTICO,CONSTITUCION,11.0,S/N,M880154,-6.417793963306332,39.561504233887334,10.050.42.11.2024004QD2822S,17.0,14.0,33.0,17.0,,11.0,14.0,19.0,17.0,17.0,17.0,19.0,23.0
92,6145683,AV.CONSTITUCION 11-A,DOMESTICO,CONSTITUCION,11.0,A,J986414,-6.417793963306332,39.561504233887334,10.050.42.11.2024004QD2822S,24.0,23.0,23.0,20.0,,21.0,21.0,21.0,25.0,24.0,23.0,24.0,21.0
93,6145684,AV.CONSTITUCION 13,COMERCIAL,CONSTITUCION,13.0,S/N,91031791,-6.417922931965407,39.56150079505279,10.050.42.13.2024003QD2822S,7.0,2.0,6.0,0.0,,6.0,6.0,4.0,7.0,7.0,5.0,6.0,6.0
94,6145685,AV.CONSTITUCION 15,NO DOMESTICO,CONSTITUCION,15.0,S/N,J,-6.418033589391046,39.56149839039954,10.050.42.15.2024002QD2822S,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,6145686,PARRA 1,DOMESTICO,PARRA,1.0,S/N,F669142,-6.418167831732054,39.561443628614526,10.050.15.1.2024001QD2822S,26.0,4.0,0.0,1.0,,20.0,20.0,31.0,25.0,27.0,26.0,32.0,27.0
96,6145687,AV.CONSTITUCION 19,DOMESTICO,CONSTITUCION,19.0,S/N,K,-6.418278920700233,39.561495465946464,10.050.42.19.1924111QD2812S,10.0,0.0,12.0,0.0,,10.0,0.0,11.0,0.0,10.0,1.0,12.0,0.0
97,6145690,AV.CONSTITUCION 23,DOMESTICO,CONSTITUCION,23.0,S/N,980563453,-6.418476817505647,39.561491306478395,10.050.42.23.1924109QD2812S,15.0,7.0,19.0,14.0,,15.0,15.0,26.0,19.0,15.0,12.0,22.0,14.0
98,6145692,AV.CONSTITUCION 29,DOMESTICO,CONSTITUCION,29.0,S/N,,-6.418697205767493,39.56147052994011,10.050.42.29.1924106QD2812S,0.0,0.0,0.0,0.0,,9.0,8.0,9.0,8.0,8.0,10.0,12.0,10.0
